issue;uploads;distros;authors;has_vcs;has_ci;has_bugz;
 #622;    171;    116;     64;    137;    80;     117;
 #621;    188;    126;     75;    151;    69;     125;
 #620;    228;    130;     74;    188;    64;     140;
 #619;    182;    123;     69;    137;    53;      98;
 #618;    205;    135;     71;    164;    79;     118;
 #617;    154;     99;     64;     88;    31;      65;
 #616;    159;    108;     62;     88;    41;      75;
 #615;    145;     97;     55;     79;    44;      63;
 #614;    158;    117;     62;    103;    57;      78;
 #613;    128;     90;     58;     79;    33;      62;
 #612;    134;    104;     64;     88;    42;      69;
 #611;    185;    123;     64;     96;    41;      68;
 #610;    172;    111;     63;     89;    34;      66;
 #609;    161;    115;     62;     93;    41;      69;
 #608;    137;    104;     66;     80;    43;      54;
 #607;    164;    111;     69;     92;    46;      72;
 #606;    197;    125;     77;    108;    58;      85;
 #605;    163;    123;     68;     99;    46;      65;
 #604;    210;    141;     59;    105;    43;      75;
 #603;    215;    151;     61;    116;    59;      86;
 #602;    281;    168;     87;    134;    66;      94;
 #601;    167;    119;     72;    106;    54;      75;
 #600;    129;     91;     63;     80;    44;      55;
 #599;    183;    129;     71;    110;    53;      87;
 #598;    172;    124;     69;    109;    56;      89;
 #597;    274;    228;     72;    215;    50;     190;
 #596;    168;    116;     63;    101;    65;      74;
 #595;    195;    136;     69;     93;    53;      66;
 #594;    201;    129;     72;     97;    50;      69;
 #593;    171;    119;     69;    104;    47;      72;
 #592;    138;    106;     63;     87;    54;      69;
 #591;    124;     90;     55;     75;    44;      57;
 #590;    172;    123;     68;    108;    46;      86;
 #589;    196;    130;     66;    115;    63;      92;
 #588;    229;    161;     72;    122;    66;      88;
 #587;    263;    185;     75;    164;    67;     124;
 #586;    163;    104;     53;     91;    37;      71;
 #585;    183;    137;     79;    104;    52;      78;
 #557;    141;    104;     67;     91;    46;      76;
 #556;    179;    140;     68;    125;    89;     111;
 #555;    145;    107;     64;     91;    43;      70;
 #554;    174;    116;     72;    104;    49;      81;
 #553;    163;    120;     63;     95;    55;      80;
 #552;    189;    123;     65;    103;    45;      85;
 #551;    180;    131;     72;    101;    44;      73;
 #550;    193;    135;     80;    108;    47;      73;
 #549;    185;    107;     63;     89;    26;      67;
 #548;    200;    126;     77;    111;    52;      79;
 #547;    160;    102;     64;     87;    40;      73;
 #546;    195;    151;     67;    134;    88;     111;
 #545;    160;     99;     60;     84;    39;      72;
 #544;    138;     96;     61;     87;    39;      72;
 #543;    153;    115;     65;     96;    42;      73;
 #542;    130;     94;     61;     87;    51;      73;
 #541;    134;    106;     67;     92;    42;      76;
 #540;    159;    123;     60;     87;    50;      69;
 #539;    209;    144;     70;    109;    52;      80;
 #538;    131;     97;     61;     75;    42;      67;
 #537;    107;     78;     53;     65;    36;      49;
 #536;    139;    105;     64;     92;    49;      77;
 #535;    178;    125;     69;    112;    51;      93;
 #534;    149;    107;     62;     79;    39;      70;
 #533;    109;     88;     53;     74;    43;      68;
 #532;    174;    128;     57;    120;    46;      95;
 #531;    153;    107;     70;     90;    49;      72;
 #530;    124;     90;     61;     78;    45;      66;
 #529;    175;    141;     87;    122;    76;      96;
 #528;    146;    103;     70;     79;    47;      68;
 #527;    215;    146;     70;    113;    41;     102;
 #526;    151;    102;     67;     81;    35;      66;
 #525;    160;    114;     64;     94;    45;      84;
 #524;    215;    148;     66;    128;    56;     112;
 #523;    212;    138;     68;    121;    55;     107;
 #522;    190;    127;     60;    110;    41;     101;
 #521;    202;    138;     69;    110;    43;      92;
 #520;    222;    135;     76;    116;    51;      97;
 #519;    245;    179;     79;    142;    58;     116;
 #518;    231;    162;     75;    140;    54;     125;
 #517;    247;    189;     78;    168;    71;     150;
 #516;    174;    123;     75;     98;    32;      77;
 #515;    216;    149;     72;    118;    57;     100;
 #514;    260;    183;     88;    150;    61;     124;
 #513;    231;    150;     90;    125;    56;     106;
 #512;    173;    123;     75;     97;    44;      76;
 #511;    202;    149;     81;    135;    66;     118;
 #510;    255;    155;     88;    124;    65;      98;
 #509;    217;    148;     86;    112;    56;      89;
 #508;    242;    161;     93;    110;    49;      86;
 #507;    248;    168;     93;    122;    53;      90;
 #506;    189;    143;     81;    123;    58;      96;
 #505;    239;    171;     86;    138;    77;     118;
 #504;    207;    148;     86;    125;    68;      99;
 #503;    237;    157;     82;    141;    54;     113;
 #502;    222;    155;     91;    133;    64;     118;
 #501;    211;    135;     92;    111;    54;      96;
 #500;    284;    193;    102;    167;    89;     146;
 #499;    269;    173;     93;    145;    59;     126;
 #498;    252;    176;     84;    147;    59;     129;
 #497;    278;    203;     98;    183;   115;     171;
 #496;    218;    164;     95;    135;    73;     117;
 #495;    312;    233;     81;    191;   135;     168;
 #494;    271;    219;     85;    184;   111;     165;
 #493;    222;    162;     76;    127;    57;     111;
 #492;    190;    132;     71;    112;    65;      98;
 #491;    232;    133;     70;    110;    58;      88;
 #490;    269;    154;     93;    132;    57;      92;
 #489;    183;    138;     76;     96;    60;      68;
 #488;    171;    137;     80;     94;    44;      66;
 #487;    201;    144;     82;    121;    61;      85;
 #486;    205;    138;     84;    121;    59;
 #485;    206;    146;     80;    129;    80;
 #484;    222;    149;     77;    109;    53;
 #483;    252;    186;     79;    151;    61;
 #482;    259;    191;     80;    161;    92;
 #481;    222;    143;     77;    112;    57;
 #480;    216;    152;     79;    126;    69;
 #479;    217;    132;     86;    106;    60;
 #478;    209;    132;     80;    110;    61;
 #477;    178;    110;     68;     86;    39;
 #476;    209;    131;     78;     94;    38;
 #475;    171;    122;     77;     88;    35;
 #474;    179;    125;     67;    107;    36;
 #473;    251;    168;     91;
 #472;    217;    160;     94;
 #471;    199;    156;     85;

